Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
126,method,recipe,0.303757591,76.7,9.55,1.89,1.02,6,50.99612403,1.5,52.48984504,1.5,53.983567,1.5,55.35006404,56.97936797,3,1.36649704,1,2
114,receipt,bag,0.274555783,6.82,62.63,0.89,1.8,7,60.0002141,1.5,61.49393201,1.5,62.98745012,1.5,63.85285091,65.98345995,3,0.865400791,1,2
162,court,lawyer,0.42873253,126.98,25.92,2.11,1.43,8,68.99590611,1.5,70.48966193,1.5,71.98339701,1.5,72.74562907,74.97919893,3,0.762232065,1,2
138,python,tree,0.334664181,1.12,72.23,0.33,1.86,9,77.99997711,1.5,79.49353909,1.5,80.98748493,1.5,81.95441008,83.983253,3,0.966925144,2,2
38,chest,loot,0.093488198,43.46,4.02,1.65,0.7,10,86.99577999,1.5,88.48947692,1.5,89.98302412,1.5,90.73617792,92.97877812,3,0.753153801,2,2
10,antelope,capsule,0.017242202,3.8,3.07,0.68,0.61,11,95.99986696,1.5,97.49358392,1.5,98.98730493,1.5,100.177954,101.983109,3,1.190649033,2,2
146,reed,marsh,0.361045623,5.47,11.9,0.81,1.11,12,104.995553,1.5,106.4892681,1.5,107.9827609,1.5,108.9877331,110.9788501,3,1.004972219,1,2
34,peacock,typhoon,0.083367248,2.91,0.39,0.59,0.14,13,113.9996469,1.5,115.493412,1.5,116.986917,1.5,117.9844761,119.98294,3,0.997559071,2,2
154,fiction,author,0.40109891,15.75,29.16,1.22,1.48,14,122.9954309,1.5,124.489151,1.5,125.9826679,1.5,126.503273,128.9786711,3,0.520605087,1,2
166,theater,film,0.455351868,0,88.16,0,1.95,15,131.9995611,1.5,133.4932289,1.5,134.986949,1.5,135.6020691,137.98276,3,0.615120173,1,2
18,hall,oats,0.045724347,120.67,5.36,2.09,0.8,16,140.9952571,1.5,142.488976,1.5,143.9825201,1.5,145.017837,146.9782941,3,1.035316944,2,2
98,cloth,dish,0.219489361,45.25,21.79,1.67,1.36,17,149.99928,1.5,151.492758,1.5,152.9867849,1.5,153.708626,155.9825859,3,0.721841097,1,2
130,thermostat,mercury,0.313819368,1.4,12.51,0.38,1.13,18,158.9950781,1.5,160.4888601,1.5,161.9825211,1.5,163.2123911,164.9783189,3,1.229870081,1,2
50,firework,lighter,0.117697972,1.62,15.03,0.42,1.2,19,167.9991231,1.5,169.4926469,1.5,170.9866021,1.5,171.7301769,173.9824011,3,0.743574858,1,2
70,curtain,kitchen,0.151804708,19.33,105.59,1.31,2.03,20,176.9949059,1.5,178.4886301,1.5,179.9821441,1.5,181.4739051,182.9781489,3,1.491760969,2,2
86,factory,cardboard,0.184011269,39.22,10.78,1.6,1.07,21,185.998991,1.5,187.492692,1.5,188.986428,1.5,190.3666911,191.982228,3,1.38026309,2,2
186,patient,hospital,0.543404109,45.87,105.25,1.67,2.03,22,194.9947231,1.5,196.4884491,1.5,197.9821739,1.5,198.5104911,200.9779701,3,0.528317213,1,2
90,rock,seaside,0.193141798,41.45,7.21,1.63,0.91,23,203.998754,1.5,205.4922271,1.5,206.986253,1.5,207.850275,209.9820499,3,0.864022017,1,2
82,dough,barbeque,0.173217468,10.28,0,1.05,0,24,212.9945521,1.5,214.488065,1.5,215.981957,1.5,217.8960321,218.977756,3,1.914075136,2,2
106,lake,oar,0.256857975,40.11,0.39,1.61,0.14,25,221.9985931,1.5,223.492069,1.5,224.9860761,1.5,226.188828,227.9818761,3,1.202751875,1,2
122,speech,brief,0.290192427,75.75,46.15,1.89,1.67,26,230.9943681,1.5,232.4880869,1.5,233.9815941,1.5,235.296603,236.977607,3,1.315008879,2,2
182,pulpit,preacher,0.533269436,4.19,3.24,0.72,0.63,27,239.9984729,1.5,241.4921629,1.5,242.9856989,1.5,243.7603929,245.9816999,3,0.774693966,2,2
174,cactus,desert,0.483561788,2.12,38.77,0.49,1.6,28,248.9942009,1.5,250.487725,1.5,251.9814291,1.5,252.99313,254.977201,3,1.011700869,1,2
66,army,crag,0.149129788,107.99,2.29,2.04,0.52,29,257.99828,1.5,259.491991,1.5,260.985523,1.5,261.7059481,263.9815331,3,0.720425129,2,2
134,web,spider,0.325861187,5.81,4.08,0.83,0.71,30,266.99403,1.5,268.4877501,1.5,269.98125,1.5,270.93571,272.9770601,3,0.954459906,1,2
